EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
1-CONS-LARGE-TTL2,1,45,true,0,1800000,77500,426000,108.0-18.0,80.0-44.0,null,8,1
1-CONS-LARGE-TTL2,1,219,true,250,1800250,161250,503500,124.0-104.0,124.0-120.0,null,13,1
1-CONS-LARGE-TTL2,1,61,true,0,3000000,109750,519500,184.0-88.0,48.0-120.0,null,12,1
1-CONS-LARGE-TTL2,1,33,true,0,1800000,125000,548500,158.0-64.0,56.0-120.0,null,2,1
1-CONS-LARGE-TTL2,1,217,true,250,1800250,148750,548500,56.0-18.0,146.0-64.0,null,3,1
1-CONS-LARGE-TTL2,1,220,true,250,2400250,498500,818250,124.0-108.0,128.0-120.0,null,18,1
1-CONS-LARGE-TTL2,1,20,true,0,2400000,538000,859000,36.0-114.0,60.0-120.0,null,9,1
1-CONS-LARGE-TTL2,1,63,true,0,2400000,522500,907250,172.0-104.0,96.0-120.0,null,1,1
1-CONS-LARGE-TTL2,1,218,true,250,3000250,564500,946750,56.0-18.0,130.0-28.0,null,10,1
1-CONS-LARGE-TTL2,0,66,false,0,1800000,136500,1262000,172.0-104.0,172.0-104.0,64,6,0
1-CONS-LARGE-TTL2,1,64,true,0,1800000,897500,1297250,172.0-104.0,72.0-120.0,null,13,1
1-CONS-LARGE-TTL2,1,18,true,0,2400000,1038000,1396500,36.0-114.0,120.0-120.0,null,11,1
1-CONS-LARGE-TTL2,1,265,true,256500,3856500,1292750,1637500,130.0-74.0,152.0-120.0,null,10,1
1-CONS-LARGE-TTL2,1,222,true,250,3000250,1321500,1643750,124.0-108.0,132.0-120.0,null,12,1
1-CONS-LARGE-TTL2,0,284,false,363500,3363500,798750,1663000,28.0-44.0,28.0-44.0,282,0,0
1-CONS-LARGE-TTL2,1,282,true,363500,3363500,1240750,1707000,28.0-44.0,120.0-120.0,null,17,1
1-CONS-LARGE-TTL2,1,19,true,0,2400000,1518750,1879750,36.0-114.0,124.0-120.0,null,4,1
1-CONS-LARGE-TTL2,0,21,false,0,2400000,129750,1886750,36.0-114.0,36.0-114.0,18,7,0
1-CONS-LARGE-TTL2,0,283,false,363500,3363500,429000,2026750,28.0-44.0,28.0-44.0,282,15,0
1-CONS-LARGE-TTL2,1,263,true,256500,2656500,1671000,2033250,130.0-74.0,180.0-120.0,null,1,1
1-CONS-LARGE-TTL2,1,221,true,250,3000250,1715000,2064750,124.0-108.0,176.0-120.0,null,13,1
1-CONS-LARGE-TTL2,1,335,true,1482000,5082000,1683000,2070250,168.0-18.0,128.0-94.0,null,18,1
1-CONS-LARGE-TTL2,0,225,false,250,3000250,909500,2081500,124.0-108.0,124.0-108.0,222,5,0
1-CONS-LARGE-TTL2,1,322,true,713500,4313500,1689250,2107250,110.0-34.0,184.0-120.0,null,6,1
1-CONS-LARGE-TTL2,0,223,false,250,3000250,128750,2446000,124.0-108.0,124.0-108.0,222,19,0
1-CONS-LARGE-TTL2,1,321,true,713500,2513500,2097500,2504750,110.0-34.0,48.0-120.0,null,11,1
1-CONS-LARGE-TTL2,1,336,true,1482000,3282000,2188250,2583000,168.0-18.0,100.0-98.0,null,0,1
1-CONS-LARGE-TTL2,0,269,false,256500,2056500,2050000,2799500,130.0-74.0,130.0-74.0,264,10,0
1-CONS-LARGE-TTL2,1,264,true,256500,2056500,2445000,2824750,130.0-74.0,112.0-120.0,null,1,1
1-CONS-LARGE-TTL2,0,267,false,256500,3856500,778250,3162750,130.0-74.0,130.0-74.0,265,8,0
1-CONS-LARGE-TTL2,1,327,true,1482000,3282000,2797000,3198000,134.0-68.0,64.0-120.0,null,19,1
1-CONS-LARGE-TTL2,1,418,true,2799500,5799500,2878750,3243500,112.0-88.0,144.0-120.0,null,13,1
1-CONS-LARGE-TTL2,1,328,true,1482000,5082000,3143250,3521750,134.0-68.0,76.0-120.0,null,10,1
1-CONS-LARGE-TTL2,0,266,false,256500,3856500,361750,3527250,130.0-74.0,130.0-74.0,265,14,0
1-CONS-LARGE-TTL2,0,326,false,713500,3713500,2953750,3941000,110.0-34.0,110.0-34.0,320,11,0
1-CONS-LARGE-TTL2,1,320,true,713500,3713500,3598250,3965500,110.0-34.0,128.0-120.0,null,8,1
1-CONS-LARGE-TTL2,0,378,false,2026750,5026750,3298750,4027750,82.0-88.0,82.0-88.0,374,1,0
1-CONS-LARGE-TTL2,0,368,false,2026750,5026750,3162250,4028750,56.0-44.0,56.0-44.0,365,18,0
1-CONS-LARGE-TTL2,1,365,true,2026750,5026750,3668000,4047750,56.0-44.0,104.0-120.0,null,19,1
1-CONS-LARGE-TTL2,1,374,true,2026750,5026750,3681250,4079750,82.0-88.0,180.0-120.0,null,13,1
1-CONS-LARGE-TTL2,0,332,false,1482000,5082000,2420250,4252000,134.0-68.0,134.0-68.0,329,15,0
1-CONS-LARGE-TTL2,0,325,false,713500,3713500,2504750,4286250,110.0-34.0,110.0-34.0,320,17,0
1-CONS-LARGE-TTL2,0,377,false,2026750,5026750,2902750,4383500,82.0-88.0,82.0-88.0,374,0,0
1-CONS-LARGE-TTL2,1,329,true,1482000,5082000,3843250,4386000,134.0-68.0,180.0-120.0,null,14,1
1-CONS-LARGE-TTL2,0,367,false,2026750,5026750,2735000,4391250,56.0-44.0,56.0-44.0,365,6,0
1-CONS-LARGE-TTL2,0,331,false,1482000,5082000,1951000,4615250,134.0-68.0,134.0-68.0,329,9,0
1-CONS-LARGE-TTL2,0,324,false,713500,4313500,1192000,4649500,110.0-34.0,110.0-34.0,322,2,0
1-CONS-LARGE-TTL2,1,422,true,2799500,6399500,4362750,4712500,112.0-84.0,104.0-120.0,null,8,1
1-CONS-LARGE-TTL2,1,493,true,3764500,5564500,4369250,4744000,108.0-18.0,82.0-108.0,null,11,1
1-CONS-LARGE-TTL2,0,376,false,2026750,5026750,2504000,4745250,82.0-88.0,82.0-88.0,374,5,0
1-CONS-LARGE-TTL2,0,366,false,2026750,5026750,2245250,4749750,56.0-44.0,56.0-44.0,365,7,0
1-CONS-LARGE-TTL2,1,517,true,4075000,7075000,4438750,4847250,174.0-104.0,88.0-120.0,null,13,1
1-CONS-LARGE-TTL2,1,521,true,4075000,6475000,4507750,4860000,184.0-18.0,172.0-38.0,null,18,1
1-CONS-LARGE-TTL2,0,330,false,1482000,5082000,1536250,4976750,134.0-68.0,134.0-68.0,329,3,0
1-CONS-LARGE-TTL2,0,323,false,713500,4313500,773750,5017000,110.0-34.0,110.0-34.0,322,16,0
1-CONS-LARGE-TTL2,1,525,true,4329250,7929250,4674750,5064500,152.0-24.0,148.0-120.0,null,15,1
1-CONS-LARGE-TTL2,0,375,false,2026750,5026750,2124500,5110000,82.0-88.0,82.0-88.0,374,12,0
1-CONS-LARGE-TTL2,1,421,true,2799500,5199500,4809500,5159250,112.0-84.0,104.0-120.0,null,14,1
1-CONS-LARGE-TTL2,0,424,false,2799500,6399500,3974250,5165000,112.0-84.0,112.0-84.0,422,10,0
1-CONS-LARGE-TTL2,1,516,true,4075000,7075000,4903250,5219250,174.0-108.0,168.0-120.0,null,6,1
1-CONS-LARGE-TTL2,1,641,true,4910750,7910750,5043250,5418000,128.0-18.0,158.0-84.0,null,9,1
1-CONS-LARGE-TTL2,1,419,true,2799500,6399500,5096000,5448250,112.0-88.0,76.0-120.0,null,2,1
