EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
1-CONS-REDUCED-SPEED0,1,124,true,0,3000000,182250,317750,102.0-88.0,48.0-120.0,null,7,1
1-CONS-REDUCED-SPEED0,1,147,true,0,2400000,241250,340750,84.0-114.0,136.0-120.0,null,18,1
1-CONS-REDUCED-SPEED0,1,126,true,0,3000000,222500,362500,102.0-84.0,112.0-120.0,null,4,1
1-CONS-REDUCED-SPEED0,1,111,true,0,1800000,275250,404000,84.0-104.0,56.0-120.0,null,0,1
1-CONS-REDUCED-SPEED0,1,112,true,0,3600000,321500,511000,180.0-18.0,132.0-108.0,null,8,1
1-CONS-REDUCED-SPEED0,1,110,true,0,3600000,448000,581250,84.0-104.0,60.0-120.0,null,1,1
1-CONS-REDUCED-SPEED0,0,117,false,0,2400000,310500,619500,106.0-54.0,106.0-54.0,115,13,0
1-CONS-REDUCED-SPEED0,1,115,true,0,2400000,488250,684500,106.0-54.0,88.0-120.0,null,2,1
1-CONS-REDUCED-SPEED0,0,116,false,0,2400000,167750,737750,106.0-54.0,106.0-54.0,115,12,0
1-CONS-REDUCED-SPEED0,1,113,true,0,3600000,555750,792500,180.0-18.0,50.0-68.0,null,16,1
1-CONS-REDUCED-SPEED0,1,123,true,0,1800000,712000,861000,102.0-84.0,168.0-120.0,null,0,1
1-CONS-REDUCED-SPEED0,1,146,true,0,1800000,863000,926500,84.0-114.0,104.0-120.0,null,1,1
1-CONS-REDUCED-SPEED0,1,114,true,0,3000000,788500,930750,180.0-18.0,172.0-58.0,null,9,1
1-CONS-REDUCED-SPEED0,0,142,false,0,3600000,629250,965250,60.0-104.0,60.0-104.0,138,14,0
1-CONS-REDUCED-SPEED0,1,138,true,0,3600000,869000,975250,60.0-104.0,60.0-120.0,null,18,1
1-CONS-REDUCED-SPEED0,0,141,false,0,3600000,333250,1078750,60.0-104.0,60.0-104.0,138,11,0
1-CONS-REDUCED-SPEED0,0,152,false,0,1800000,784250,1145000,84.0-114.0,84.0-114.0,146,7,0
1-CONS-REDUCED-SPEED0,1,148,true,0,3600000,1036750,1163250,84.0-114.0,64.0-120.0,null,2,1
1-CONS-REDUCED-SPEED0,0,140,false,0,3600000,204250,1210000,60.0-104.0,60.0-104.0,138,6,0
1-CONS-REDUCED-SPEED0,0,151,false,0,1800000,658750,1253500,84.0-114.0,84.0-114.0,146,17,0
1-CONS-REDUCED-SPEED0,1,263,true,626750,2426750,1140500,1309750,148.0-48.0,184.0-120.0,null,16,1
1-CONS-REDUCED-SPEED0,0,139,false,0,3600000,102000,1343500,60.0-104.0,60.0-104.0,138,10,0
1-CONS-REDUCED-SPEED0,1,305,true,926500,3926500,1206000,1352750,52.0-18.0,88.0-58.0,null,4,1
1-CONS-REDUCED-SPEED0,0,132,false,0,2400000,1160000,1358000,102.0-84.0,102.0-84.0,125,9,0
1-CONS-REDUCED-SPEED0,1,331,true,1067250,4067250,1256250,1398500,202.0-78.0,184.0-120.0,null,0,1
1-CONS-REDUCED-SPEED0,0,150,false,0,1800000,359250,1409500,84.0-114.0,84.0-114.0,146,15,0
1-CONS-REDUCED-SPEED0,1,125,true,0,2400000,1272250,1439250,102.0-84.0,88.0-120.0,null,1,1
1-CONS-REDUCED-SPEED0,0,131,false,0,2400000,979750,1485000,102.0-84.0,102.0-84.0,125,13,0
1-CONS-REDUCED-SPEED0,1,306,true,926500,3326500,1379250,1587250,52.0-18.0,112.0-68.0,null,11,1
1-CONS-REDUCED-SPEED0,0,130,false,0,2400000,848250,1593750,102.0-84.0,102.0-84.0,125,8,0
1-CONS-REDUCED-SPEED0,0,266,false,626750,3626750,885000,1595000,148.0-48.0,148.0-48.0,264,12,0
1-CONS-REDUCED-SPEED0,1,373,true,1309750,4909750,1463000,1607500,102.0-64.0,96.0-120.0,null,6,1
1-CONS-REDUCED-SPEED0,1,398,true,1383500,3183500,1570000,1658250,112.0-18.0,74.0-28.0,null,10,1
1-CONS-REDUCED-SPEED0,1,264,true,626750,3626750,1462500,1681250,148.0-48.0,84.0-120.0,null,18,1
1-CONS-REDUCED-SPEED0,0,265,false,626750,3626750,735250,1714750,148.0-48.0,148.0-48.0,264,3,0
1-CONS-REDUCED-SPEED0,0,128,false,0,2400000,542750,1722750,102.0-84.0,102.0-84.0,125,5,0
1-CONS-REDUCED-SPEED0,0,127,false,0,2400000,358250,1858000,102.0-84.0,102.0-84.0,125,19,0
1-CONS-REDUCED-SPEED0,1,463,true,1593750,3393750,1737750,1877750,194.0-104.0,176.0-120.0,null,1,1
1-CONS-REDUCED-SPEED0,0,376,false,1309750,3109750,1656000,1882250,102.0-68.0,102.0-68.0,374,4,0
1-CONS-REDUCED-SPEED0,1,399,true,1383500,4383500,1767250,1981500,112.0-18.0,174.0-48.0,null,11,1
1-CONS-REDUCED-SPEED0,1,374,true,1309750,3109750,1751000,1991000,102.0-68.0,176.0-120.0,null,8,1
1-CONS-REDUCED-SPEED0,1,416,true,1407500,4407500,1909500,1995500,172.0-18.0,146.0-38.0,null,10,1
1-CONS-REDUCED-SPEED0,1,415,true,1407500,4407500,1683500,1997750,172.0-18.0,78.0-108.0,null,17,1
1-CONS-REDUCED-SPEED0,0,375,false,1309750,3109750,1500500,2015750,102.0-68.0,102.0-68.0,374,2,0
1-CONS-REDUCED-SPEED0,1,329,true,1067250,4667250,1757000,2053250,202.0-78.0,88.0-120.0,null,15,1
1-CONS-REDUCED-SPEED0,1,478,true,1722750,3522750,1877750,2175250,180.0-18.0,60.0-104.0,null,3,1
1-CONS-REDUCED-SPEED0,0,454,false,1593750,3393750,1737750,2190750,38.0-58.0,38.0-58.0,453,13,0
1-CONS-REDUCED-SPEED0,1,345,true,1137750,4137750,1923250,2202750,150.0-24.0,80.0-120.0,null,0,1
1-CONS-REDUCED-SPEED0,1,400,true,1383500,4983500,2003750,2202750,112.0-18.0,196.0-24.0,null,6,1
1-CONS-REDUCED-SPEED0,1,545,true,2036750,5636750,2167750,2258250,144.0-18.0,184.0-24.0,null,10,1
1-CONS-REDUCED-SPEED0,1,453,true,1593750,3393750,2074750,2347500,38.0-58.0,156.0-120.0,null,16,1
1-CONS-REDUCED-SPEED0,0,464,false,1593750,3393750,2019000,2381250,194.0-104.0,194.0-104.0,462,18,0
1-CONS-REDUCED-SPEED0,1,328,true,1067250,2867250,2138500,2388750,202.0-78.0,88.0-120.0,null,1,1
1-CONS-REDUCED-SPEED0,1,417,true,1407500,5007500,2142750,2415500,172.0-18.0,40.0-98.0,null,11,1
1-CONS-REDUCED-SPEED0,1,462,true,1593750,3393750,2247750,2495750,194.0-104.0,80.0-120.0,null,2,1
1-CONS-REDUCED-SPEED0,0,350,false,1137750,2937750,2128750,2517000,150.0-24.0,150.0-24.0,346,19,0
1-CONS-REDUCED-SPEED0,0,334,false,1067250,3467250,1960500,2589750,202.0-78.0,202.0-78.0,330,5,0
1-CONS-REDUCED-SPEED0,0,348,false,1137750,2937750,1633500,2648250,150.0-24.0,150.0-24.0,346,9,0
1-CONS-REDUCED-SPEED0,1,346,true,1137750,2937750,2384750,2668750,150.0-24.0,84.0-120.0,null,15,1
1-CONS-REDUCED-SPEED0,1,330,true,1067250,3467250,2458500,2677250,202.0-78.0,108.0-120.0,null,3,1
1-CONS-REDUCED-SPEED0,1,546,true,2036750,4436750,2413250,2701750,144.0-18.0,40.0-104.0,null,10,1
1-CONS-REDUCED-SPEED0,0,332,false,1067250,3467250,1498000,2711500,202.0-78.0,202.0-78.0,330,7,0
1-CONS-REDUCED-SPEED0,0,347,false,1137750,2937750,1387250,2781750,150.0-24.0,150.0-24.0,346,14,0
1-CONS-REDUCED-SPEED0,0,516,false,1981500,3781500,2515250,2846250,54.0-28.0,54.0-28.0,514,6,0
1-CONS-REDUCED-SPEED0,1,606,true,2415500,4815500,2697000,2924750,176.0-88.0,56.0-120.0,null,5,1
1-CONS-REDUCED-SPEED0,1,547,true,2036750,4436750,2795750,2933500,144.0-18.0,110.0-44.0,null,11,1
1-CONS-REDUCED-SPEED0,0,515,false,1981500,3781500,2103250,2965750,54.0-28.0,54.0-28.0,514,4,0
1-CONS-REDUCED-SPEED0,1,514,true,1981500,3781500,2717250,3010250,54.0-28.0,176.0-120.0,null,2,1
1-CONS-REDUCED-SPEED0,1,633,true,2677250,4477250,2854750,3074000,198.0-98.0,112.0-120.0,null,7,1
1-CONS-REDUCED-SPEED0,0,607,false,2415500,4815500,2569250,3082250,176.0-88.0,176.0-88.0,606,18,0
1-CONS-REDUCED-SPEED0,1,605,true,2415500,6015500,2951000,3102250,176.0-88.0,132.0-120.0,null,15,1
1-CONS-REDUCED-SPEED0,0,519,false,1981500,4981500,2784250,3120250,54.0-24.0,54.0-24.0,513,19,0
1-CONS-REDUCED-SPEED0,0,544,false,2036750,3836750,2886750,3195500,102.0-54.0,102.0-54.0,540,9,0
1-CONS-REDUCED-SPEED0,1,604,true,2415500,5415500,2956000,3197250,176.0-84.0,84.0-120.0,null,3,1
1-CONS-REDUCED-SPEED0,1,631,true,2677250,5077250,2994000,3244250,198.0-94.0,76.0-120.0,null,10,1
1-CONS-REDUCED-SPEED0,0,518,false,1981500,4981500,2567000,3251500,54.0-24.0,54.0-24.0,513,0,0
1-CONS-REDUCED-SPEED0,1,513,true,1981500,4981500,3011250,3268250,54.0-24.0,156.0-120.0,null,14,1
1-CONS-REDUCED-SPEED0,1,540,true,2036750,3836750,3068750,3287500,102.0-54.0,56.0-120.0,null,6,1
1-CONS-REDUCED-SPEED0,0,608,false,2415500,5415500,2636000,3294000,176.0-84.0,176.0-84.0,604,1,0
1-CONS-REDUCED-SPEED0,0,543,false,2036750,3836750,2635250,3301500,102.0-54.0,102.0-54.0,540,16,0
1-CONS-REDUCED-SPEED0,1,603,true,2415500,4815500,3160500,3361250,176.0-84.0,96.0-120.0,null,11,1
1-CONS-REDUCED-SPEED0,1,548,true,2036750,5636750,3236250,3416750,144.0-18.0,108.0-84.0,null,4,1
1-CONS-REDUCED-SPEED0,0,517,false,1981500,4981500,2361000,3417000,54.0-24.0,54.0-24.0,513,8,0
1-CONS-REDUCED-SPEED0,0,542,false,2036750,3836750,2394500,3432750,102.0-54.0,102.0-54.0,540,13,0
1-CONS-REDUCED-SPEED0,1,793,true,3207500,6807500,3293000,3437500,132.0-98.0,84.0-120.0,null,7,1
1-CONS-REDUCED-SPEED0,1,767,true,3082250,6082250,3313500,3489500,96.0-18.0,202.0-34.0,null,18,1
1-CONS-REDUCED-SPEED0,1,706,true,2933500,6533500,3278500,3526500,128.0-34.0,88.0-120.0,null,5,1
1-CONS-REDUCED-SPEED0,0,541,false,2036750,3836750,2196750,3556500,102.0-54.0,102.0-54.0,540,17,0
1-CONS-REDUCED-SPEED0,1,705,true,2933500,5333500,3378000,3621500,128.0-34.0,84.0-120.0,null,9,1
1-CONS-REDUCED-SPEED0,1,815,true,3332000,5732000,3543500,3692500,144.0-18.0,112.0-88.0,null,14,1
1-CONS-REDUCED-SPEED0,1,632,true,2677250,6277250,3534250,3771000,198.0-98.0,52.0-120.0,null,19,1
1-CONS-REDUCED-SPEED0,1,824,true,3378500,5778500,3593250,3789500,72.0-18.0,30.0-104.0,null,10,1
1-CONS-REDUCED-SPEED0,1,768,true,3082250,6682250,3666000,3905000,96.0-18.0,148.0-108.0,null,6,1
1-CONS-REDUCED-SPEED0,1,630,true,2677250,6277250,3798500,3931750,198.0-98.0,152.0-120.0,null,7,1
1-CONS-REDUCED-SPEED0,0,780,false,3150750,4950750,3554750,3975750,26.0-64.0,26.0-64.0,778,0,0
1-CONS-REDUCED-SPEED0,1,792,true,3207500,5607500,3880000,3984000,132.0-98.0,144.0-120.0,null,9,1
1-CONS-REDUCED-SPEED0,0,795,false,3207500,5607500,3657500,3993500,132.0-98.0,132.0-98.0,792,13,0
1-CONS-REDUCED-SPEED0,1,830,true,3463250,5863250,3865500,4068500,30.0-28.0,72.0-120.0,null,18,1
1-CONS-REDUCED-SPEED0,0,779,false,3150750,4950750,3377750,4094000,26.0-64.0,26.0-64.0,778,15,0
1-CONS-REDUCED-SPEED0,1,778,true,3150750,4950750,3821500,4096500,26.0-64.0,184.0-120.0,null,5,1
1-CONS-REDUCED-SPEED0,1,802,true,3251500,6851500,3968750,4115500,52.0-108.0,128.0-120.0,null,10,1
1-CONS-REDUCED-SPEED0,0,794,false,3207500,5607500,3471000,4124750,132.0-98.0,132.0-98.0,792,1,0
1-CONS-REDUCED-SPEED0,1,825,true,3378500,5178500,3924000,4194500,72.0-18.0,172.0-88.0,null,14,1
1-CONS-REDUCED-SPEED0,1,947,true,3984000,5784000,4182000,4364750,154.0-74.0,96.0-120.0,null,7,1
1-CONS-REDUCED-SPEED0,0,806,false,3251500,6251500,4127500,4387750,52.0-108.0,52.0-108.0,801,6,0
1-CONS-REDUCED-SPEED0,1,801,true,3251500,6251500,4293000,4417750,52.0-108.0,88.0-120.0,null,1,1
1-CONS-REDUCED-SPEED0,0,634,false,2677250,6277250,3207000,4484750,198.0-98.0,198.0-98.0,632,2,0
1-CONS-REDUCED-SPEED0,0,805,false,3251500,6851500,3789750,4487000,52.0-108.0,52.0-108.0,802,17,0
1-CONS-REDUCED-SPEED0,1,769,true,3082250,6082250,4349750,4489750,96.0-18.0,82.0-98.0,null,15,1
1-CONS-REDUCED-SPEED0,1,629,true,2677250,6277250,4351250,4516000,198.0-98.0,132.0-120.0,null,0,1
1-CONS-REDUCED-SPEED0,1,986,true,4124750,7124750,4427000,4591750,144.0-18.0,78.0-68.0,null,5,1
1-CONS-REDUCED-SPEED0,1,831,true,3463250,5263250,4381750,4602750,30.0-28.0,88.0-120.0,null,9,1
1-CONS-REDUCED-SPEED0,0,804,false,3251500,6851500,3540750,4608000,52.0-108.0,52.0-108.0,802,16,0
1-CONS-REDUCED-SPEED0,0,803,false,3251500,6851500,3339750,4728750,52.0-108.0,52.0-108.0,802,3,0
1-CONS-REDUCED-SPEED0,0,839,false,3463250,7063250,4321750,4775250,30.0-24.0,30.0-24.0,832,13,0
1-CONS-REDUCED-SPEED0,0,836,false,3463250,6463250,4079250,4784500,30.0-28.0,30.0-28.0,833,19,0
1-CONS-REDUCED-SPEED0,1,948,true,3993500,7593500,4701500,4810000,154.0-104.0,136.0-120.0,null,0,1
1-CONS-REDUCED-SPEED0,1,832,true,3463250,7063250,4644000,4815500,30.0-24.0,56.0-120.0,null,14,1
