EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
1-MAX-FAST+0-HEUR-FACTOR2,1,77,true,0,1800000,52750,225250,64.0-18.0,172.0-44.0,null,13,1
1-MAX-FAST+0-HEUR-FACTOR2,1,93,true,0,3600000,178000,285250,148.0-48.0,184.0-120.0,null,18,1
1-MAX-FAST+0-HEUR-FACTOR2,1,101,true,0,3600000,133750,309750,108.0-18.0,208.0-108.0,null,6,1
1-MAX-FAST+0-HEUR-FACTOR2,1,92,true,0,3000000,163000,309750,148.0-44.0,120.0-120.0,null,16,1
1-MAX-FAST+0-HEUR-FACTOR2,0,95,false,0,3000000,117750,314000,148.0-44.0,148.0-44.0,92,14,0
1-MAX-FAST+0-HEUR-FACTOR2,1,103,true,0,1800000,226500,327500,172.0-18.0,128.0-64.0,null,17,1
1-MAX-FAST+0-HEUR-FACTOR2,1,102,true,0,2400000,212750,327750,108.0-18.0,124.0-48.0,null,9,1
1-MAX-FAST+0-HEUR-FACTOR2,0,65,false,0,3000000,153000,330750,60.0-94.0,60.0-94.0,62,4,0
1-MAX-FAST+0-HEUR-FACTOR2,0,81,false,0,3000000,126750,343000,84.0-34.0,84.0-34.0,80,1,0
1-MAX-FAST+0-HEUR-FACTOR2,1,62,true,0,3000000,217500,353500,60.0-94.0,168.0-120.0,null,5,1
1-MAX-FAST+0-HEUR-FACTOR2,1,80,true,0,3000000,251500,367500,84.0-34.0,132.0-120.0,null,10,1
1-MAX-FAST+0-HEUR-FACTOR2,1,104,true,0,3600000,293750,373500,172.0-18.0,134.0-24.0,null,13,1
1-MAX-FAST+0-HEUR-FACTOR2,0,64,false,0,3000000,97750,425250,60.0-94.0,60.0-94.0,62,0,0
1-MAX-FAST+0-HEUR-FACTOR2,0,96,false,0,2400000,325250,483000,148.0-48.0,148.0-48.0,91,8,0
1-MAX-FAST+0-HEUR-FACTOR2,1,91,true,0,2400000,390500,497750,148.0-48.0,184.0-120.0,null,14,1
1-MAX-FAST+0-HEUR-FACTOR2,0,100,false,0,3000000,330000,520750,206.0-114.0,206.0-114.0,97,19,0
1-MAX-FAST+0-HEUR-FACTOR2,1,105,true,0,1800000,420750,521750,172.0-18.0,204.0-84.0,null,6,1
1-MAX-FAST+0-HEUR-FACTOR2,1,97,true,0,3000000,449250,529000,206.0-114.0,172.0-120.0,null,17,1
1-MAX-FAST+0-HEUR-FACTOR2,0,94,false,0,3600000,87750,580250,148.0-48.0,148.0-48.0,93,11,0
1-MAX-FAST+0-HEUR-FACTOR2,0,99,false,0,3000000,220250,638000,206.0-114.0,206.0-114.0,97,12,0
1-MAX-FAST+0-HEUR-FACTOR2,1,206,true,343000,3943000,598000,674000,76.0-74.0,100.0-120.0,null,10,1
1-MAX-FAST+0-HEUR-FACTOR2,1,250,true,435000,3435000,563000,680250,100.0-18.0,62.0-84.0,null,16,1
1-MAX-FAST+0-HEUR-FACTOR2,1,106,true,0,3000000,580250,705000,172.0-18.0,104.0-98.0,null,4,1
1-MAX-FAST+0-HEUR-FACTOR2,1,244,true,435000,2235000,622500,718500,156.0-34.0,172.0-120.0,null,0,1
1-MAX-FAST+0-HEUR-FACTOR2,0,98,false,0,3000000,141500,745500,206.0-114.0,206.0-114.0,97,7,0
1-MAX-FAST+0-HEUR-FACTOR2,0,59,false,0,3000000,511750,757250,28.0-34.0,28.0-34.0,55,9,0
1-MAX-FAST+0-HEUR-FACTOR2,1,55,true,0,3000000,672500,796000,28.0-34.0,88.0-120.0,null,8,1
1-MAX-FAST+0-HEUR-FACTOR2,1,107,true,0,1800000,684500,811750,172.0-18.0,196.0-98.0,null,6,1
1-MAX-FAST+0-HEUR-FACTOR2,0,58,false,0,3000000,412750,848000,28.0-34.0,28.0-34.0,55,2,0
1-MAX-FAST+0-HEUR-FACTOR2,1,337,true,619500,3619500,738000,849000,182.0-24.0,184.0-120.0,null,18,1
1-MAX-FAST+0-HEUR-FACTOR2,1,335,true,619500,4219500,729250,877750,182.0-24.0,128.0-120.0,null,17,1
1-MAX-FAST+0-HEUR-FACTOR2,1,208,true,343000,3343000,844000,932500,76.0-74.0,72.0-120.0,null,12,1
1-MAX-FAST+0-HEUR-FACTOR2,0,57,false,0,3000000,236750,941250,28.0-34.0,28.0-34.0,55,15,0
1-MAX-FAST+0-HEUR-FACTOR2,1,423,true,745500,3745500,896500,1025000,124.0-18.0,60.0-108.0,null,7,1
1-MAX-FAST+0-HEUR-FACTOR2,1,207,true,343000,3343000,937000,1028000,76.0-74.0,124.0-120.0,null,8,1
1-MAX-FAST+0-HEUR-FACTOR2,0,243,false,435000,3435000,842500,1029500,88.0-114.0,88.0-114.0,240,10,0
1-MAX-FAST+0-HEUR-FACTOR2,1,240,true,435000,3435000,944000,1035000,88.0-114.0,176.0-120.0,null,9,1
1-MAX-FAST+0-HEUR-FACTOR2,0,56,false,0,3000000,90500,1035750,28.0-34.0,28.0-34.0,55,3,0
1-MAX-FAST+0-HEUR-FACTOR2,1,336,true,619500,2419500,880000,1061000,182.0-24.0,56.0-120.0,null,16,1
