EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,48,true,0,1800000,62750,174500,152.0-18.0,184.0-58.0,null,5,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,141,true,0,1800000,68000,228250,170.0-98.0,56.0-120.0,null,7,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,133,true,0,3600000,75500,258000,106.0-28.0,176.0-120.0,null,19,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,92,true,0,3600000,186750,274000,130.0-98.0,172.0-120.0,null,18,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,51,true,0,3600000,197750,329250,152.0-18.0,136.0-104.0,null,8,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,70,true,0,2400000,225000,339750,26.0-78.0,108.0-120.0,null,0,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,75,true,0,3000000,145750,364250,26.0-78.0,172.0-120.0,null,17,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,78,true,0,3000000,315750,410500,26.0-74.0,80.0-120.0,null,3,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,126,true,0,3000000,344500,455500,84.0-94.0,184.0-120.0,null,7,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,94,true,0,2400000,338250,459500,130.0-98.0,80.0-120.0,null,5,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,54,true,0,3000000,399000,486250,152.0-18.0,134.0-88.0,null,13,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,0,101,false,0,2400000,260000,502000,130.0-98.0,130.0-98.0,94,2,0
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,88,true,0,1800000,408750,511000,130.0-98.0,52.0-120.0,null,8,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,77,true,0,2400000,478750,561000,26.0-74.0,60.0-120.0,null,18,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,0,80,false,0,3000000,166500,573250,26.0-74.0,26.0-74.0,78,6,0
1-MAX-FAST+PICKUP-HEUR-FACTOR0,0,99,false,0,2400000,94000,596500,130.0-98.0,130.0-98.0,94,1,0
1-MAX-FAST+PICKUP-HEUR-FACTOR0,0,145,false,0,1800000,389250,605500,170.0-98.0,170.0-98.0,139,19,0
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,139,true,0,1800000,519000,623750,170.0-98.0,112.0-120.0,null,0,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,0,43,false,0,3000000,418500,672750,40.0-78.0,40.0-78.0,36,16,0
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,36,true,0,3000000,551500,677500,40.0-78.0,112.0-120.0,null,3,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,0,131,false,0,3000000,528750,689000,84.0-94.0,84.0-94.0,124,17,0
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,124,true,0,3000000,606250,697250,84.0-94.0,56.0-120.0,null,2,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,0,144,false,0,1800000,284500,700000,170.0-98.0,170.0-98.0,139,15,0
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,267,true,509250,3509250,651000,737000,128.0-18.0,130.0-58.0,null,5,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,0,130,false,0,3000000,277500,760500,84.0-94.0,84.0-94.0,126,10,0
1-MAX-FAST+PICKUP-HEUR-FACTOR0,0,42,false,0,3000000,259750,766000,40.0-78.0,40.0-78.0,36,12,0
1-MAX-FAST+PICKUP-HEUR-FACTOR0,0,143,false,0,1800000,145750,776500,170.0-98.0,170.0-98.0,139,9,0
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,323,true,636750,3036750,771000,852000,112.0-74.0,144.0-120.0,null,8,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,284,true,532500,2932500,711750,859000,160.0-64.0,48.0-120.0,null,1,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,0,41,false,0,3000000,109250,865000,40.0-78.0,40.0-78.0,36,14,0
1-MAX-FAST+PICKUP-HEUR-FACTOR0,1,313,true,582000,2982000,697250,875750,176.0-18.0,64.0-104.0,null,7,1
1-MAX-FAST+PICKUP-HEUR-FACTOR0,0,129,false,0,3000000,156000,881250,84.0-94.0,84.0-94.0,126,4,0
