EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,152,true,0,3600000,81750,167750,146.0-104.0,120.0-120.0,null,3,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,145,true,0,2400000,116750,169000,56.0-108.0,56.0-120.0,null,8,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,158,true,0,2400000,51500,197750,64.0-24.0,52.0-120.0,null,6,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,189,true,0,1800000,50500,243750,124.0-18.0,50.0-108.0,null,18,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,190,true,0,3000000,130750,266750,124.0-18.0,200.0-68.0,null,5,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,176,true,0,3600000,191500,292500,104.0-98.0,172.0-120.0,null,10,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,153,true,0,3000000,209250,302750,146.0-104.0,132.0-120.0,null,15,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,151,true,0,3000000,251750,317750,146.0-108.0,180.0-120.0,null,2,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,160,true,0,2400000,179250,326500,64.0-24.0,152.0-120.0,null,11,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,146,true,0,2400000,261250,332750,56.0-108.0,84.0-120.0,null,8,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,191,true,0,2400000,242000,350500,124.0-18.0,158.0-94.0,null,14,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,0,148,false,0,2400000,213750,357500,56.0-108.0,56.0-108.0,146,17,0
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,159,true,0,1800000,232750,379000,64.0-24.0,52.0-120.0,null,0,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,154,true,0,3600000,272000,396250,146.0-104.0,156.0-120.0,null,9,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,0,157,false,0,3000000,104250,410500,146.0-108.0,146.0-108.0,151,19,0
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,0,150,false,0,3600000,263250,471750,56.0-104.0,56.0-104.0,144,4,0
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,144,true,0,3600000,379750,499500,56.0-104.0,180.0-120.0,null,12,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,255,true,326750,2726750,409750,519500,156.0-44.0,156.0-120.0,null,5,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,174,true,0,1800000,456000,549500,104.0-98.0,64.0-120.0,null,17,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,177,true,0,1800000,508750,582250,104.0-98.0,128.0-120.0,null,19,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,0,149,false,0,3600000,165500,596250,56.0-104.0,56.0-104.0,144,16,0
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,317,true,396250,2796250,540000,608500,154.0-104.0,148.0-120.0,null,9,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,0,264,false,326750,2126750,422500,627000,156.0-48.0,156.0-48.0,258,10,0
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,258,true,326750,2126750,532500,637250,156.0-48.0,172.0-120.0,null,3,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,249,true,326500,3926500,537750,663750,56.0-18.0,130.0-74.0,null,2,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,316,true,396250,2196250,584000,697500,154.0-104.0,76.0-120.0,null,11,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,257,true,326750,2726750,631500,783750,156.0-44.0,80.0-120.0,null,6,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,0,183,false,0,2400000,605250,784000,104.0-98.0,104.0-98.0,175,15,0
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,175,true,0,2400000,693250,796750,104.0-98.0,176.0-120.0,null,16,1
1-MAX-FAST-EXPON-TIME-HEUR-SCALING0,1,400,true,596250,3596250,729500,818000,76.0-74.0,72.0-120.0,null,17,1
