EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,153,true,0,1800000,110250,192500,146.0-94.0,100.0-120.0,null,19,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,136,true,0,2400000,111500,233750,88.0-18.0,170.0-44.0,null,11,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,155,true,0,1800000,209000,276250,146.0-94.0,176.0-120.0,null,15,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,150,true,0,2400000,201500,327500,84.0-18.0,170.0-54.0,null,13,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,163,true,0,1800000,204250,334000,50.0-74.0,156.0-120.0,null,9,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,165,true,0,2400000,249250,335500,50.0-74.0,60.0-120.0,null,4,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,149,true,0,3600000,164000,340000,84.0-18.0,184.0-108.0,null,1,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,137,true,0,2400000,249500,358000,88.0-18.0,108.0-84.0,null,10,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,160,false,0,1800000,97750,392500,146.0-94.0,146.0-94.0,155,6,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,151,true,0,3000000,323750,404750,84.0-18.0,88.0-64.0,null,18,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,138,true,0,1800000,339250,414000,88.0-18.0,64.0-58.0,null,12,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,154,true,0,2400000,271500,425250,146.0-94.0,80.0-120.0,null,3,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,169,false,0,2400000,184000,475250,50.0-74.0,50.0-74.0,161,7,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,161,true,0,2400000,380750,490500,50.0-74.0,128.0-120.0,null,2,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,215,true,340250,3340250,434000,525000,128.0-18.0,176.0-44.0,null,13,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,164,true,0,1800000,464000,528750,50.0-74.0,52.0-120.0,null,4,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,152,true,0,3000000,421250,529750,84.0-18.0,54.0-94.0,null,19,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,207,true,340000,3340000,453000,549000,128.0-38.0,128.0-120.0,null,16,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,168,false,0,1800000,381250,609000,50.0-78.0,50.0-78.0,164,5,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,216,true,340250,3940250,545500,615250,128.0-18.0,152.0-34.0,null,1,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,162,true,0,3000000,532500,624750,50.0-74.0,96.0-120.0,null,18,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,156,true,0,3600000,517500,629750,146.0-94.0,52.0-120.0,null,0,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,159,false,0,3600000,350750,651250,146.0-98.0,146.0-98.0,156,17,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,248,true,393000,3993000,571750,674000,60.0-24.0,76.0-120.0,null,9,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,166,false,0,2400000,104000,700500,50.0-78.0,50.0-78.0,165,8,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,158,false,0,3600000,197250,748250,146.0-98.0,146.0-98.0,156,14,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,321,true,529750,3529750,611250,753500,160.0-18.0,208.0-98.0,null,6,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,234,false,358000,2758000,539500,755750,50.0-24.0,50.0-24.0,233,15,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,236,false,358000,2758000,570000,759750,50.0-28.0,50.0-28.0,232,12,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,322,true,529750,2929750,672500,782250,160.0-18.0,134.0-84.0,null,13,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,233,true,358000,2758000,666500,787500,50.0-24.0,48.0-120.0,null,3,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,232,true,358000,2758000,683250,814250,50.0-28.0,108.0-120.0,null,10,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,217,true,340250,3340250,716750,835250,128.0-18.0,112.0-104.0,null,19,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,235,false,358000,2758000,491500,854000,50.0-28.0,50.0-28.0,232,11,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,371,true,681750,4281750,756250,863500,152.0-64.0,120.0-120.0,null,1,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,376,true,700500,4300500,796250,884750,130.0-84.0,136.0-120.0,null,5,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,377,true,700500,3700500,830250,913750,130.0-84.0,156.0-120.0,null,13,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,323,true,529750,2329750,795000,919750,160.0-18.0,62.0-68.0,null,16,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,378,false,700500,3700500,786000,927500,130.0-88.0,130.0-88.0,377,17,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,394,true,759750,3159750,890000,961000,76.0-18.0,54.0-58.0,null,0,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,385,true,731000,3131000,869500,963000,120.0-18.0,100.0-84.0,null,8,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,324,true,529750,4129750,899250,1000250,160.0-18.0,178.0-74.0,null,12,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,218,true,340250,2740250,868750,1003750,128.0-18.0,54.0-58.0,null,9,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,348,false,639500,3639500,904750,1107000,126.0-68.0,126.0-68.0,346,14,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,325,true,529750,2329750,1044500,1135500,160.0-18.0,76.0-28.0,null,10,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,346,true,639500,3639500,1015000,1136000,126.0-68.0,56.0-120.0,null,3,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,386,true,731000,3131000,1069000,1159750,120.0-18.0,110.0-44.0,null,5,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,347,false,639500,3639500,764750,1200250,126.0-68.0,126.0-68.0,346,4,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,398,true,814250,2614250,1087250,1205750,34.0-108.0,136.0-120.0,null,17,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,251,false,393000,2193000,1007500,1226250,60.0-24.0,60.0-24.0,247,19,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,387,true,731000,4331000,1172750,1230000,120.0-18.0,110.0-48.0,null,12,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,486,true,1003750,4603750,1107000,1240500,108.0-18.0,178.0-58.0,null,8,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,247,true,393000,2193000,1139750,1259500,60.0-24.0,104.0-120.0,null,6,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,250,false,393000,2193000,811250,1320000,60.0-24.0,60.0-24.0,247,2,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,397,true,814250,3814250,1185000,1323500,34.0-108.0,168.0-120.0,null,0,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,396,true,814250,3214250,1281500,1360000,34.0-108.0,72.0-120.0,null,10,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,399,false,814250,2614250,994500,1374750,34.0-108.0,34.0-108.0,398,16,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,249,false,393000,2193000,670750,1413500,60.0-24.0,60.0-24.0,247,7,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,554,true,1243000,3643000,1314000,1420000,200.0-94.0,148.0-120.0,null,17,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,539,true,1190750,4790750,1328000,1439000,56.0-18.0,28.0-104.0,null,4,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,543,true,1190750,3590750,1330500,1441500,112.0-18.0,156.0-64.0,null,3,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,424,false,884750,3884750,1283250,1499500,128.0-24.0,128.0-24.0,420,1,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,506,true,1137500,4137500,1402750,1513750,76.0-38.0,60.0-120.0,null,19,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,420,true,884750,3884750,1417000,1564250,128.0-24.0,72.0-120.0,null,6,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,557,true,1243000,3643000,1442750,1568750,200.0-94.0,132.0-120.0,null,0,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,0,423,false,884750,3884750,1188750,1593500,128.0-24.0,128.0-24.0,420,9,0
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,544,true,1190750,4190750,1540000,1608500,112.0-18.0,98.0-54.0,null,3,1
1-MAX-FAST-LINEAR-TIME-HEUR-SCALING2,1,553,true,1243000,3043000,1523250,1629250,200.0-94.0,132.0-120.0,null,2,1
