EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
1-MAX-FAST-NOHOLDIA2,1,176,true,250,1800250,76500,185750,182.0-78.0,144.0-120.0,null,4,1
1-MAX-FAST-NOHOLDIA2,1,50,true,0,3000000,87750,210000,128.0-24.0,128.0-120.0,null,12,1
1-MAX-FAST-NOHOLDIA2,1,41,true,0,3000000,131500,230000,144.0-18.0,86.0-34.0,null,2,1
1-MAX-FAST-NOHOLDIA2,1,54,true,0,1800000,112750,236250,96.0-18.0,202.0-54.0,null,19,1
1-MAX-FAST-NOHOLDIA2,1,56,true,0,3600000,225500,290250,96.0-18.0,80.0-34.0,null,11,1
1-MAX-FAST-NOHOLDIA2,0,52,false,0,2400000,167750,304500,174.0-114.0,174.0-114.0,51,0,0
1-MAX-FAST-NOHOLDIA2,1,15,true,0,3000000,94000,305750,202.0-38.0,128.0-120.0,null,7,1
1-MAX-FAST-NOHOLDIA2,1,51,true,0,2400000,214000,310250,174.0-114.0,156.0-120.0,null,3,1
1-MAX-FAST-NOHOLDIA2,1,171,true,250,2400250,154250,337750,56.0-18.0,182.0-98.0,null,16,1
1-MAX-FAST-NOHOLDIA2,1,262,true,186000,3786000,249000,394750,64.0-28.0,64.0-120.0,null,8,1
1-MAX-FAST-NOHOLDIA2,1,58,true,0,3600000,331750,395250,96.0-18.0,86.0-58.0,null,15,1
1-MAX-FAST-NOHOLDIA2,1,172,true,250,3000250,293000,397750,56.0-18.0,58.0-88.0,null,18,1
1-MAX-FAST-NOHOLDIA2,0,260,false,186000,2586000,228000,399500,58.0-48.0,58.0-48.0,257,1,0
1-MAX-FAST-NOHOLDIA2,1,257,true,186000,2586000,305000,426000,58.0-48.0,104.0-120.0,null,2,1
1-MAX-FAST-NOHOLDIA2,1,173,true,250,3000250,439250,497750,56.0-18.0,52.0-44.0,null,19,1
1-MAX-FAST-NOHOLDIA2,1,61,true,0,3600000,473750,541000,96.0-18.0,132.0-34.0,null,16,1
1-MAX-FAST-NOHOLDIA2,1,258,true,186000,2586000,427750,541250,58.0-44.0,64.0-120.0,null,11,1
1-MAX-FAST-NOHOLDIA2,0,259,false,186000,2586000,352500,549250,58.0-44.0,58.0-44.0,258,13,0
1-MAX-FAST-NOHOLDIA2,1,277,true,304500,3304500,485750,571750,172.0-78.0,156.0-120.0,null,17,1
1-MAX-FAST-NOHOLDIA2,0,253,false,185750,3785750,436250,587250,80.0-38.0,80.0-38.0,251,12,0
1-MAX-FAST-NOHOLDIA2,1,286,true,335500,3935500,453750,606000,170.0-38.0,80.0-120.0,null,0,1
1-MAX-FAST-NOHOLDIA2,1,174,true,250,2400250,558250,631750,56.0-18.0,58.0-38.0,null,8,1
1-MAX-FAST-NOHOLDIA2,1,251,true,185750,3785750,507000,665500,80.0-38.0,180.0-120.0,null,15,1
1-MAX-FAST-NOHOLDIA2,1,307,true,426000,2226000,548750,676000,180.0-18.0,58.0-24.0,null,4,1
1-MAX-FAST-NOHOLDIA2,0,252,false,185750,3785750,303500,681750,80.0-38.0,80.0-38.0,251,10,0
1-MAX-FAST-NOHOLDIA2,1,175,true,250,3600250,635250,768750,56.0-18.0,122.0-94.0,null,1,1
1-MAX-FAST-NOHOLDIA2,1,352,true,562750,2962750,734000,808750,98.0-98.0,88.0-120.0,null,11,1
1-MAX-FAST-NOHOLDIA2,1,308,true,426000,2226000,680500,814000,180.0-18.0,204.0-108.0,null,3,1
1-MAX-FAST-NOHOLDIA2,1,287,true,335500,2735500,701250,818500,170.0-38.0,120.0-120.0,null,9,1
1-MAX-FAST-NOHOLDIA2,0,265,false,186000,3186000,601250,828250,64.0-28.0,64.0-28.0,261,7,0
1-MAX-FAST-NOHOLDIA2,1,261,true,186000,3186000,749250,869000,64.0-28.0,76.0-120.0,null,17,1
1-MAX-FAST-NOHOLDIA2,1,347,true,562750,2962750,714000,898750,208.0-64.0,60.0-120.0,null,2,1
