EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
1-MAX-FAST-REDUCED-SPEED2,1,141,true,0,2400000,195750,304250,176.0-78.0,180.0-120.0,null,18,1
1-MAX-FAST-REDUCED-SPEED2,1,139,true,0,1800000,131000,325500,180.0-18.0,88.0-48.0,null,3,1
1-MAX-FAST-REDUCED-SPEED2,0,175,false,0,1800000,128000,408250,156.0-64.0,156.0-64.0,174,1,0
1-MAX-FAST-REDUCED-SPEED2,1,156,true,0,3600000,164500,408250,60.0-104.0,180.0-120.0,null,15,1
1-MAX-FAST-REDUCED-SPEED2,1,138,true,0,3600000,182250,444750,144.0-18.0,196.0-88.0,null,9,1
1-MAX-FAST-REDUCED-SPEED2,1,174,true,0,1800000,247500,450750,156.0-64.0,128.0-120.0,null,17,1
1-MAX-FAST-REDUCED-SPEED2,1,142,true,0,3600000,303750,459750,176.0-78.0,152.0-120.0,null,11,1
1-MAX-FAST-REDUCED-SPEED2,1,140,true,0,1800000,299000,551500,180.0-18.0,88.0-84.0,null,14,1
1-MAX-FAST-REDUCED-SPEED2,0,137,false,0,1800000,227250,587750,158.0-28.0,158.0-28.0,132,5,0
1-MAX-FAST-REDUCED-SPEED2,1,160,true,0,3000000,446750,593500,60.0-104.0,120.0-120.0,null,6,1
1-MAX-FAST-REDUCED-SPEED2,1,157,true,0,3600000,485750,619000,60.0-104.0,132.0-120.0,null,3,1
1-MAX-FAST-REDUCED-SPEED2,0,135,false,0,2400000,296250,636750,158.0-24.0,158.0-24.0,133,0,0
1-MAX-FAST-REDUCED-SPEED2,0,136,false,0,1800000,137750,707750,158.0-28.0,158.0-28.0,132,16,0
1-MAX-FAST-REDUCED-SPEED2,1,133,true,0,2400000,528000,726500,158.0-24.0,160.0-120.0,null,10,1
1-MAX-FAST-REDUCED-SPEED2,1,132,true,0,1800000,456500,727000,158.0-24.0,52.0-120.0,null,2,1
