EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
1-MAX-FAST3,1,62,true,0,2400000,82750,156250,148.0-114.0,160.0-120.0,null,10,1
1-MAX-FAST3,1,57,true,0,3000000,165250,247500,48.0-18.0,58.0-84.0,null,11,1
1-MAX-FAST3,1,66,true,0,3000000,150000,272250,72.0-18.0,196.0-34.0,null,4,1
1-MAX-FAST3,0,52,false,0,3000000,108500,288500,106.0-68.0,106.0-68.0,50,16,0
1-MAX-FAST3,1,59,true,0,1800000,166500,302500,100.0-18.0,204.0-48.0,null,2,1
1-MAX-FAST3,1,50,true,0,3000000,171250,308750,106.0-68.0,64.0-120.0,null,9,1
1-MAX-FAST3,1,60,true,0,3000000,225750,341750,100.0-18.0,78.0-74.0,null,12,1
1-MAX-FAST3,1,72,true,0,1800000,257250,360750,74.0-68.0,128.0-120.0,null,19,1
1-MAX-FAST3,1,67,true,0,3000000,259000,378750,72.0-18.0,152.0-74.0,null,3,1
1-MAX-FAST3,0,51,false,0,3000000,57750,383000,106.0-68.0,106.0-68.0,50,8,0
1-MAX-FAST3,1,58,true,0,2400000,266750,385250,48.0-18.0,176.0-24.0,null,1,1
1-MAX-FAST3,0,74,false,0,1800000,134500,441000,74.0-68.0,74.0-68.0,72,17,0
1-MAX-FAST3,1,61,true,0,3000000,339500,445500,100.0-18.0,82.0-94.0,null,14,1
1-MAX-FAST3,1,71,true,0,3600000,339000,478000,74.0-68.0,148.0-120.0,null,13,1
1-MAX-FAST3,1,150,true,302750,2702750,398500,487000,148.0-18.0,132.0-64.0,null,0,1
1-MAX-FAST3,1,68,true,0,3000000,433000,515250,72.0-18.0,80.0-58.0,null,6,1
1-MAX-FAST3,1,63,true,0,3000000,459250,517750,148.0-114.0,184.0-120.0,null,16,1
1-MAX-FAST3,1,149,true,302500,2102500,427500,526000,88.0-18.0,108.0-48.0,null,4,1
1-MAX-FAST3,0,73,false,0,1800000,34250,535500,74.0-68.0,74.0-68.0,72,7,0
1-MAX-FAST3,1,153,true,302750,2702750,431750,536500,168.0-18.0,170.0-88.0,null,2,1
1-MAX-FAST3,0,65,false,0,3000000,369000,550000,148.0-114.0,148.0-114.0,63,5,0
1-MAX-FAST3,1,175,true,383000,2183000,477750,612500,26.0-98.0,160.0-120.0,null,12,1
