EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
1-max-fast-more-ants3,1,170,true,0,1800000,54000,185000,110.0-84.0,56.0-120.0,null,3,1
1-max-fast-more-ants3,0,147,false,0,2400000,46750,233750,98.0-44.0,98.0-44.0,141,5,0
1-max-fast-more-ants3,1,166,true,0,3600000,114250,239000,168.0-18.0,110.0-108.0,null,6,1
1-max-fast-more-ants3,0,158,false,0,3600000,69250,247250,102.0-34.0,102.0-34.0,157,2,0
1-max-fast-more-ants3,1,160,true,0,1800000,89000,250000,86.0-28.0,168.0-120.0,null,19,1
1-max-fast-more-ants3,0,159,false,0,2400000,76750,253500,102.0-38.0,102.0-38.0,156,9,0
1-max-fast-more-ants3,1,169,true,0,3000000,126000,265000,110.0-88.0,180.0-120.0,null,18,1
1-max-fast-more-ants3,1,140,true,0,1800000,186750,267750,98.0-48.0,96.0-120.0,null,15,1
1-max-fast-more-ants3,1,156,true,0,2400000,159000,281250,102.0-38.0,148.0-120.0,null,7,1
1-max-fast-more-ants3,1,141,true,0,2400000,141750,298250,98.0-44.0,56.0-120.0,null,16,1
1-max-fast-more-ants3,1,157,true,0,3600000,152750,302500,102.0-34.0,60.0-120.0,null,14,1
1-max-fast-more-ants3,1,167,true,0,1800000,214750,323250,168.0-18.0,174.0-98.0,null,8,1
1-max-fast-more-ants3,0,155,false,0,3600000,123750,356000,58.0-78.0,58.0-78.0,149,17,0
1-max-fast-more-ants3,1,149,true,0,3600000,261500,373750,58.0-78.0,120.0-120.0,null,4,1
1-max-fast-more-ants3,1,171,true,0,3000000,353500,442000,110.0-88.0,88.0-120.0,null,2,1
1-max-fast-more-ants3,0,174,false,0,3000000,240250,446750,110.0-88.0,110.0-88.0,171,1,0
1-max-fast-more-ants3,1,148,true,0,2400000,408250,515500,58.0-74.0,132.0-120.0,null,17,1
