EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
2-max-fast-more-ants-decision1,1,206,true,0,2400000,114750,215750,62.0-64.0,84.0-120.0,null,6,1
2-max-fast-more-ants-decision1,1,189,true,0,1800000,106250,216000,74.0-94.0,172.0-120.0,null,18,1
2-max-fast-more-ants-decision1,0,207,false,0,2400000,74000,229250,62.0-64.0,62.0-64.0,206,7,0
2-max-fast-more-ants-decision1,1,125,true,0,3000000,58250,233000,184.0-18.0,82.0-38.0,null,3,1
2-max-fast-more-ants-decision1,1,140,true,0,3600000,110500,236500,108.0-38.0,148.0-120.0,null,9,1
2-max-fast-more-ants-decision1,1,200,true,0,2400000,147500,241000,62.0-68.0,76.0-120.0,null,19,1
2-max-fast-more-ants-decision1,0,208,false,0,2400000,113250,241750,62.0-68.0,62.0-68.0,200,8,0
2-max-fast-more-ants-decision1,1,172,true,0,3000000,145500,255250,158.0-38.0,120.0-120.0,null,13,1
2-max-fast-more-ants-decision1,1,130,true,0,3600000,74250,261000,60.0-24.0,156.0-120.0,null,12,1
2-max-fast-more-ants-decision1,0,175,false,0,1800000,250000,437000,158.0-38.0,158.0-38.0,171,15,0
2-max-fast-more-ants-decision1,1,171,true,0,1800000,345250,447500,158.0-38.0,156.0-120.0,null,7,1
2-max-fast-more-ants-decision1,0,138,false,0,2400000,350750,508500,60.0-28.0,60.0-28.0,131,6,0
2-max-fast-more-ants-decision1,0,174,false,0,3000000,69250,532500,158.0-38.0,158.0-38.0,172,1,0
2-max-fast-more-ants-decision1,1,152,true,0,3000000,406250,566750,108.0-38.0,160.0-120.0,null,10,1
2-max-fast-more-ants-decision1,0,170,false,0,1800000,382000,585250,54.0-54.0,54.0-54.0,166,19,0
2-max-fast-more-ants-decision1,1,166,true,0,1800000,494500,596750,54.0-54.0,52.0-120.0,null,12,1
2-max-fast-more-ants-decision1,1,131,true,0,2400000,417000,599250,60.0-28.0,180.0-120.0,null,18,1
2-max-fast-more-ants-decision1,0,137,false,0,2400000,180250,601250,60.0-28.0,60.0-28.0,131,16,0
2-max-fast-more-ants-decision1,0,169,false,0,1800000,289000,664250,54.0-54.0,54.0-54.0,166,4,0
2-max-fast-more-ants-decision1,1,149,true,0,2400000,547250,690250,108.0-34.0,100.0-120.0,null,9,1
2-max-fast-more-ants-decision1,0,136,false,0,2400000,132750,695750,60.0-28.0,60.0-28.0,131,14,0
2-max-fast-more-ants-decision1,1,148,true,0,3000000,618500,727000,108.0-34.0,96.0-120.0,null,1,1
