EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
3-MAX-FAST-LARGE-TTL1,1,83,true,0,3000000,94250,436500,168.0-18.0,182.0-48.0,null,5,1
3-MAX-FAST-LARGE-TTL1,1,236,true,149500,3749500,228750,587250,128.0-18.0,136.0-68.0,null,2,1
3-MAX-FAST-LARGE-TTL1,1,100,true,0,2400000,74250,593250,156.0-18.0,106.0-38.0,null,18,1
3-MAX-FAST-LARGE-TTL1,1,256,true,223500,3223500,351500,711250,126.0-94.0,96.0-120.0,null,19,1
3-MAX-FAST-LARGE-TTL1,0,34,false,0,1800000,117750,835500,150.0-114.0,150.0-114.0,32,10,0
3-MAX-FAST-LARGE-TTL1,1,103,true,0,3600000,478750,854750,156.0-18.0,132.0-84.0,null,14,1
3-MAX-FAST-LARGE-TTL1,0,118,false,0,1800000,54000,870000,26.0-58.0,26.0-58.0,110,3,0
3-MAX-FAST-LARGE-TTL1,1,110,true,0,1800000,527250,904500,26.0-58.0,76.0-120.0,null,16,1
3-MAX-FAST-LARGE-TTL1,1,237,true,149500,2549500,533500,910750,128.0-18.0,154.0-68.0,null,0,1
3-MAX-FAST-LARGE-TTL1,1,32,true,0,1800000,426500,1037250,150.0-114.0,96.0-120.0,null,13,1
3-MAX-FAST-LARGE-TTL1,1,238,true,149500,1949500,845000,1196000,128.0-18.0,170.0-34.0,null,4,1
3-MAX-FAST-LARGE-TTL1,0,115,false,0,3000000,448000,1226750,26.0-54.0,26.0-54.0,111,12,0
3-MAX-FAST-LARGE-TTL1,1,111,true,0,3000000,864000,1241250,26.0-54.0,80.0-120.0,null,5,1
3-MAX-FAST-LARGE-TTL1,1,269,true,779750,3179750,985250,1368750,172.0-18.0,170.0-98.0,null,1,1
3-MAX-FAST-LARGE-TTL1,1,270,true,779750,4379750,1034000,1427500,34.0-84.0,124.0-120.0,null,18,1
3-MAX-FAST-LARGE-TTL1,1,18,true,0,2400000,1077000,1444250,34.0-114.0,132.0-120.0,null,9,1
3-MAX-FAST-LARGE-TTL1,1,271,true,779750,3179750,1137500,1546000,34.0-84.0,168.0-120.0,null,19,1
3-MAX-FAST-LARGE-TTL1,1,239,true,149500,3749500,1156500,1577500,128.0-18.0,200.0-88.0,null,2,1
3-MAX-FAST-LARGE-TTL1,0,113,false,0,3000000,141250,1592750,26.0-54.0,26.0-54.0,111,15,0
3-MAX-FAST-LARGE-TTL1,1,20,true,0,3600000,1395000,1744750,34.0-114.0,104.0-120.0,null,10,1
3-MAX-FAST-LARGE-TTL1,1,19,true,0,2400000,1700000,2047250,34.0-114.0,100.0-120.0,null,3,1
3-MAX-FAST-LARGE-TTL1,1,240,true,149500,1949500,1655250,2050000,128.0-18.0,38.0-44.0,null,4,1
3-MAX-FAST-LARGE-TTL1,0,29,false,0,2400000,765750,2062000,34.0-114.0,34.0-114.0,18,11,0
3-MAX-FAST-LARGE-TTL1,1,318,true,1239750,4839750,1742250,2119500,136.0-18.0,204.0-34.0,null,1,1
3-MAX-FAST-LARGE-TTL1,0,274,false,835500,3235500,1675000,2353000,36.0-78.0,36.0-78.0,273,16,0
3-MAX-FAST-LARGE-TTL1,1,304,true,1164500,2964500,1998500,2359500,128.0-74.0,128.0-120.0,null,12,1
3-MAX-FAST-LARGE-TTL1,1,273,true,835500,3235500,1988500,2417000,36.0-78.0,168.0-120.0,null,5,1
3-MAX-FAST-LARGE-TTL1,0,28,false,0,2400000,457500,2425250,34.0-114.0,34.0-114.0,18,8,0
3-MAX-FAST-LARGE-TTL1,1,272,true,835500,3235500,2398000,2741500,36.0-74.0,56.0-120.0,null,2,1
3-MAX-FAST-LARGE-TTL1,1,330,true,1592750,5192750,2408500,2773250,38.0-34.0,52.0-120.0,null,4,1
3-MAX-FAST-LARGE-TTL1,0,276,false,835500,3235500,1943750,2788250,36.0-74.0,36.0-74.0,272,15,0
3-MAX-FAST-LARGE-TTL1,0,24,false,0,2400000,138750,2817500,34.0-114.0,34.0-114.0,18,6,0
3-MAX-FAST-LARGE-TTL1,1,319,true,1239750,3639750,2492750,2872500,136.0-18.0,148.0-58.0,null,3,1
3-MAX-FAST-LARGE-TTL1,0,275,false,835500,3235500,1446250,3165750,36.0-74.0,36.0-74.0,272,14,0
3-MAX-FAST-LARGE-TTL1,1,397,true,2425250,4225250,2823500,3192000,136.0-94.0,72.0-120.0,null,8,1
3-MAX-FAST-LARGE-TTL1,1,396,true,2425250,5425250,2842250,3223250,136.0-98.0,60.0-120.0,null,12,1
3-MAX-FAST-LARGE-TTL1,1,332,true,1592750,5192750,3023250,3423000,38.0-34.0,108.0-120.0,null,11,1
3-MAX-FAST-LARGE-TTL1,1,302,true,1164500,4764500,3133250,3476750,128.0-74.0,148.0-120.0,null,10,1
3-MAX-FAST-LARGE-TTL1,1,398,true,2425250,5425250,3196750,3565250,136.0-98.0,88.0-120.0,null,4,1
3-MAX-FAST-LARGE-TTL1,1,329,true,1592750,3392750,3381250,3798500,38.0-34.0,136.0-120.0,null,3,1
3-MAX-FAST-LARGE-TTL1,1,442,true,3001250,4801250,3474000,3845000,168.0-18.0,76.0-24.0,null,1,1
3-MAX-FAST-LARGE-TTL1,1,399,true,2425250,4225250,3603250,3964250,136.0-98.0,76.0-120.0,null,8,1
3-MAX-FAST-LARGE-TTL1,1,443,true,3001250,6001250,4057500,4437250,168.0-18.0,80.0-34.0,null,12,1
3-MAX-FAST-LARGE-TTL1,1,508,true,3586000,5386000,4201500,4573750,106.0-38.0,112.0-120.0,null,4,1
3-MAX-FAST-LARGE-TTL1,1,303,true,1164500,4164500,4211000,4597000,128.0-74.0,72.0-120.0,null,1,1
3-MAX-FAST-LARGE-TTL1,0,311,false,1164500,4164500,3811000,4598000,128.0-74.0,128.0-74.0,303,2,0
3-MAX-FAST-LARGE-TTL1,0,337,false,1592750,5192750,3803000,4642750,38.0-34.0,38.0-34.0,331,5,0
3-MAX-FAST-LARGE-TTL1,1,331,true,1592750,5192750,4290750,4698000,38.0-34.0,120.0-120.0,null,11,1
3-MAX-FAST-LARGE-TTL1,0,310,false,1164500,4164500,3442500,4942250,128.0-74.0,128.0-74.0,303,6,0
3-MAX-FAST-LARGE-TTL1,0,335,false,1592750,5192750,2712500,5006000,38.0-34.0,38.0-34.0,332,18,0
3-MAX-FAST-LARGE-TTL1,0,405,false,2425250,4225250,4292250,5177250,136.0-98.0,136.0-98.0,400,3,0
3-MAX-FAST-LARGE-TTL1,1,400,true,2425250,4225250,4814000,5180000,136.0-98.0,84.0-120.0,null,14,1
3-MAX-FAST-LARGE-TTL1,0,308,false,1164500,4164500,2823250,5327000,128.0-74.0,128.0-74.0,303,16,0
3-MAX-FAST-LARGE-TTL1,0,333,false,1592750,5192750,2067250,5374500,38.0-34.0,38.0-34.0,332,19,0
3-MAX-FAST-LARGE-TTL1,1,509,true,3586000,7186000,5060000,5442250,106.0-38.0,128.0-120.0,null,5,1
3-MAX-FAST-LARGE-TTL1,0,404,false,2425250,4225250,3974000,5542500,136.0-98.0,136.0-98.0,400,15,0
3-MAX-FAST-LARGE-TTL1,0,307,false,1164500,4164500,2450500,5676000,128.0-74.0,128.0-74.0,303,9,0
3-MAX-FAST-LARGE-TTL1,0,512,false,3586000,7186000,4519000,5736500,106.0-38.0,106.0-38.0,509,8,0
3-MAX-FAST-LARGE-TTL1,1,564,true,5006000,6806000,5400500,5745250,36.0-104.0,88.0-120.0,null,18,1
3-MAX-FAST-LARGE-TTL1,1,506,true,3586000,5986000,5341500,5748750,112.0-18.0,176.0-58.0,null,1,1
3-MAX-FAST-LARGE-TTL1,1,507,true,3586000,5986000,5378750,5758500,106.0-38.0,124.0-120.0,null,11,1
3-MAX-FAST-LARGE-TTL1,1,444,true,3001250,6601250,5377500,5806000,168.0-18.0,26.0-78.0,null,4,1
3-MAX-FAST-LARGE-TTL1,0,306,false,1164500,2964500,1620000,6039250,128.0-74.0,128.0-74.0,304,13,0
3-MAX-FAST-LARGE-TTL1,1,560,true,4627750,6427750,5716500,6067500,100.0-18.0,82.0-54.0,null,16,1
3-MAX-FAST-LARGE-TTL1,0,510,false,3586000,7186000,3896750,6101000,106.0-38.0,106.0-38.0,509,10,0
3-MAX-FAST-LARGE-TTL1,0,395,false,2425250,5425250,5305500,6113500,154.0-34.0,154.0-34.0,393,6,0
3-MAX-FAST-LARGE-TTL1,1,393,true,2425250,5425250,5749250,6164000,154.0-34.0,104.0-120.0,null,19,1
3-MAX-FAST-LARGE-TTL1,1,563,true,4942250,7942250,5970250,6311250,180.0-18.0,150.0-34.0,null,14,1
3-MAX-FAST-LARGE-TTL1,1,580,true,5304500,7104500,5942500,6359750,198.0-74.0,96.0-120.0,null,15,1
3-MAX-FAST-LARGE-TTL1,0,305,false,1164500,2964500,1265750,6402750,128.0-74.0,128.0-74.0,304,0,0
3-MAX-FAST-LARGE-TTL1,1,559,true,4627750,7627750,6032000,6426750,172.0-64.0,120.0-120.0,null,9,1
3-MAX-FAST-LARGE-TTL1,0,394,false,2425250,5425250,4961250,6510000,154.0-34.0,154.0-34.0,393,2,0
3-MAX-FAST-LARGE-TTL1,1,565,true,5081500,6881500,6161000,6563250,72.0-18.0,172.0-38.0,null,1,1
3-MAX-FAST-LARGE-TTL1,1,558,true,4627750,7627750,6193500,6585750,172.0-68.0,108.0-120.0,null,11,1
3-MAX-FAST-LARGE-TTL1,1,584,true,5304500,7704500,6202000,6601750,64.0-18.0,178.0-24.0,null,4,1
3-MAX-FAST-LARGE-TTL1,1,561,true,4627750,7027750,6429000,6782500,100.0-18.0,58.0-34.0,null,13,1
3-MAX-FAST-LARGE-TTL1,1,578,true,5304500,8304500,6864750,7237000,198.0-74.0,168.0-120.0,null,2,1
3-MAX-FAST-LARGE-TTL1,1,585,true,5304500,8304500,6924750,7393250,64.0-18.0,176.0-108.0,null,0,1
3-MAX-FAST-LARGE-TTL1,1,634,true,5976500,8376500,7052250,7404500,110.0-58.0,96.0-120.0,null,9,1
3-MAX-FAST-LARGE-TTL1,0,598,false,5676000,8076000,6564500,7431000,112.0-88.0,112.0-88.0,597,18,0
3-MAX-FAST-LARGE-TTL1,1,562,true,4627750,8227750,7141000,7502000,100.0-18.0,146.0-54.0,null,13,1
3-MAX-FAST-LARGE-TTL1,0,582,false,5304500,8904500,6248500,7538000,198.0-74.0,198.0-74.0,579,5,0
3-MAX-FAST-LARGE-TTL1,1,597,true,5676000,8076000,7015500,7555500,112.0-84.0,168.0-120.0,null,1007,1
