EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
check0,1,48,true,0,3000000,51500,142000,100.0-18.0,84.0-68.0,null,15,1
check0,1,58,true,0,3600000,54000,157750,60.0-68.0,60.0-120.0,null,12,1
check0,1,49,true,0,3000000,169000,252500,100.0-18.0,154.0-34.0,null,18,1
check0,1,55,true,0,1800000,143000,262750,60.0-68.0,120.0-120.0,null,3,1
check0,1,5,true,0,3600000,109000,263750,146.0-34.0,112.0-120.0,null,9,1
check0,1,30,true,0,3000000,59250,337500,28.0-38.0,120.0-120.0,null,2,1
check0,1,32,true,0,1800000,167000,350500,28.0-38.0,176.0-120.0,null,16,1
check0,0,64,false,0,2400000,133500,355750,58.0-64.0,58.0-64.0,62,13,0
check0,1,18,true,0,3000000,302750,361250,180.0-114.0,168.0-120.0,null,7,1
check0,1,50,true,0,3000000,289250,392750,100.0-18.0,78.0-94.0,null,0,1
check0,0,60,false,0,2400000,282500,437000,60.0-64.0,60.0-64.0,54,14,0
check0,1,54,true,0,2400000,345000,444750,60.0-64.0,112.0-120.0,null,15,1
check0,1,62,true,0,2400000,262500,499000,58.0-64.0,120.0-120.0,null,17,1
check0,0,59,false,0,2400000,146750,530250,60.0-64.0,60.0-64.0,54,6,0
check0,1,186,true,355750,3355750,445500,545250,80.0-18.0,152.0-34.0,null,13,1
check0,1,225,true,403000,2803000,499500,561750,176.0-18.0,198.0-24.0,null,1,1
check0,1,192,true,355750,3955750,441500,580000,130.0-44.0,80.0-120.0,null,18,1
check0,1,2,true,0,2400000,435750,610500,146.0-34.0,48.0-120.0,null,4,1
check0,1,15,true,0,3000000,491500,620000,180.0-114.0,88.0-120.0,null,3,1
check0,0,193,false,355750,2755750,451500,659500,130.0-48.0,130.0-48.0,191,5,0
check0,1,191,true,355750,2755750,566250,697250,130.0-48.0,48.0-120.0,null,0,1
check0,1,226,true,403000,4003000,642000,716750,176.0-18.0,208.0-34.0,null,15,1
check0,0,24,false,0,3000000,417500,719000,180.0-114.0,180.0-114.0,15,11,0
check0,1,187,true,355750,3355750,599500,743000,80.0-18.0,154.0-78.0,null,8,1
check0,1,259,true,502250,3502250,602500,763500,132.0-18.0,208.0-108.0,null,9,1
check0,1,16,true,0,3000000,627750,771250,180.0-114.0,64.0-120.0,null,14,1
check0,0,12,false,0,3000000,616250,788000,146.0-34.0,146.0-34.0,1,13,0
check0,0,20,false,0,3000000,192500,811000,180.0-114.0,180.0-114.0,15,10,0
check0,1,188,true,355750,2155750,714750,828250,80.0-18.0,184.0-24.0,null,1,1
check0,1,260,true,502250,4102250,712500,828500,132.0-18.0,58.0-78.0,null,17,1
check0,1,291,true,659500,2459500,728250,839250,110.0-48.0,84.0-120.0,null,5,1
check0,1,280,true,580000,3580000,711500,875000,48.0-18.0,176.0-68.0,null,2,1
check0,0,11,false,0,3000000,532250,878500,146.0-34.0,146.0-34.0,1,7,0
check0,1,310,true,719000,2519000,825750,899250,82.0-108.0,64.0-120.0,null,4,1
check0,1,261,true,502250,2302250,826500,912500,132.0-18.0,86.0-58.0,null,8,1
check0,1,318,true,739500,3739500,866250,916000,76.0-18.0,76.0-34.0,null,15,1
check0,1,1,true,0,3000000,709000,940000,146.0-34.0,84.0-120.0,null,6,1
check0,1,227,true,403000,4003000,878000,954000,176.0-18.0,184.0-48.0,null,18,1
check0,0,8,false,0,2400000,351750,968500,146.0-34.0,146.0-34.0,2,12,0
check0,1,189,true,355750,2755750,880750,1023000,80.0-18.0,184.0-58.0,null,0,1
check0,1,374,true,837000,3237000,936250,1044750,96.0-18.0,34.0-54.0,null,13,1
check0,0,6,false,0,2400000,209000,1063000,146.0-34.0,146.0-34.0,2,19,0
check0,1,375,true,837000,2637000,1016750,1082750,96.0-18.0,82.0-58.0,null,7,1
check0,1,335,true,788000,3788000,958500,1112000,176.0-94.0,56.0-120.0,null,14,1
check0,1,443,true,954000,3954000,1035000,1119750,184.0-18.0,206.0-28.0,null,18,1
check0,1,190,true,355750,2755750,1021500,1128750,80.0-18.0,104.0-94.0,null,2,1
check0,1,311,true,719000,2519000,1056750,1140250,82.0-108.0,128.0-120.0,null,5,1
check0,0,313,false,719000,2519000,966500,1151250,82.0-108.0,82.0-108.0,311,10,0
check0,0,294,false,659500,3059500,973500,1189750,110.0-44.0,110.0-44.0,292,17,0
check0,1,376,true,837000,3837000,1099250,1221500,96.0-18.0,174.0-48.0,null,12,1
check0,1,292,true,659500,3059500,1097500,1231000,110.0-44.0,52.0-120.0,null,6,1
check0,0,322,false,743000,3743000,1082500,1240250,208.0-68.0,208.0-68.0,319,8,0
check0,0,293,false,659500,3059500,817750,1284250,110.0-44.0,110.0-44.0,292,3,0
check0,1,337,true,788000,4388000,1218000,1291500,176.0-94.0,168.0-120.0,null,13,1
check0,1,319,true,743000,3743000,1154750,1309500,208.0-68.0,76.0-120.0,null,0,1
check0,1,452,true,1082750,4082750,1191000,1313250,76.0-68.0,156.0-120.0,null,7,1
check0,1,444,true,954000,3954000,1190250,1317500,184.0-18.0,110.0-64.0,null,4,1
check0,0,321,false,743000,3743000,952500,1333500,208.0-68.0,208.0-68.0,319,1,0
check0,1,377,true,837000,3237000,1207000,1335500,96.0-18.0,156.0-88.0,null,19,1
check0,1,498,true,1185250,4785250,1231250,1351000,176.0-18.0,106.0-64.0,null,18,1
check0,1,450,true,1082750,4682750,1289250,1419000,76.0-68.0,168.0-120.0,null,14,1
check0,0,320,false,743000,3743000,822250,1431750,208.0-68.0,208.0-68.0,319,11,0
check0,1,508,true,1240250,4240250,1379750,1483250,76.0-18.0,52.0-108.0,null,5,1
check0,1,336,true,788000,2588000,1407000,1535500,176.0-94.0,112.0-120.0,null,6,1
check0,0,341,false,788000,2588000,1282000,1566500,176.0-94.0,176.0-94.0,336,2,0
check0,1,540,true,1317500,4917500,1444250,1579000,62.0-34.0,112.0-120.0,null,8,1
check0,1,334,true,788000,2588000,1487500,1586000,176.0-94.0,160.0-120.0,null,4,1
check0,1,509,true,1240250,3640250,1509750,1605750,76.0-18.0,80.0-104.0,null,7,1
check0,1,514,true,1240500,4840500,1509750,1628250,56.0-54.0,128.0-120.0,null,18,1
