EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
inf-MAX-FAST-LARGE-TTL1,1,83,true,0,2400000,61750,461500,202.0-114.0,104.0-120.0,null,17,1
inf-MAX-FAST-LARGE-TTL1,1,63,true,0,3000000,111250,473500,82.0-74.0,84.0-120.0,null,10,1
inf-MAX-FAST-LARGE-TTL1,1,50,true,0,3000000,98000,476500,82.0-44.0,128.0-120.0,null,18,1
inf-MAX-FAST-LARGE-TTL1,1,71,true,0,1800000,89250,485250,160.0-18.0,40.0-48.0,null,1,1
inf-MAX-FAST-LARGE-TTL1,1,72,true,0,3000000,396500,763750,160.0-18.0,78.0-24.0,null,4,1
inf-MAX-FAST-LARGE-TTL1,0,47,false,0,3600000,119750,796250,204.0-64.0,204.0-64.0,46,15,0
inf-MAX-FAST-LARGE-TTL1,1,69,true,0,3000000,468750,812250,108.0-98.0,124.0-120.0,null,14,1
inf-MAX-FAST-LARGE-TTL1,0,70,false,0,3000000,96750,833250,108.0-98.0,108.0-98.0,69,13,0
inf-MAX-FAST-LARGE-TTL1,1,45,true,0,3600000,439250,836500,204.0-68.0,132.0-120.0,null,7,1
inf-MAX-FAST-LARGE-TTL1,0,68,false,0,1800000,61500,845750,82.0-78.0,82.0-78.0,61,11,0
inf-MAX-FAST-LARGE-TTL1,1,61,true,0,1800000,505500,902750,82.0-78.0,168.0-120.0,null,9,1
inf-MAX-FAST-LARGE-TTL1,1,46,true,0,3600000,431750,935500,204.0-64.0,100.0-120.0,null,2,1
inf-MAX-FAST-LARGE-TTL1,1,80,true,0,2400000,787500,1164750,148.0-44.0,144.0-120.0,null,0,1
inf-MAX-FAST-LARGE-TTL1,0,82,false,0,2400000,477500,1176750,148.0-44.0,148.0-44.0,80,19,0
inf-MAX-FAST-LARGE-TTL1,1,73,true,0,1800000,1015250,1351250,160.0-18.0,126.0-38.0,null,10,1
inf-MAX-FAST-LARGE-TTL1,0,49,false,0,1800000,762500,1541250,204.0-68.0,204.0-68.0,44,6,0
inf-MAX-FAST-LARGE-TTL1,0,81,false,0,2400000,109000,1544250,148.0-44.0,148.0-44.0,80,5,0
inf-MAX-FAST-LARGE-TTL1,1,44,true,0,1800000,1184750,1607000,204.0-68.0,76.0-120.0,null,4,1
inf-MAX-FAST-LARGE-TTL1,0,87,false,0,1800000,1162500,1837250,202.0-114.0,202.0-114.0,84,18,0
inf-MAX-FAST-LARGE-TTL1,1,84,true,0,1800000,1470750,1903000,202.0-114.0,60.0-120.0,null,11,1
inf-MAX-FAST-LARGE-TTL1,0,48,false,0,3600000,86500,1905750,204.0-68.0,204.0-68.0,45,8,0
inf-MAX-FAST-LARGE-TTL1,0,229,false,845750,4445750,1058750,1909500,172.0-58.0,172.0-58.0,228,3,0
inf-MAX-FAST-LARGE-TTL1,1,60,true,0,2400000,1545000,1939750,82.0-74.0,184.0-120.0,null,14,1
inf-MAX-FAST-LARGE-TTL1,1,228,true,845750,4445750,1545000,1956000,172.0-58.0,80.0-120.0,null,19,1
inf-MAX-FAST-LARGE-TTL1,1,280,true,1477250,3277250,1572250,1990750,64.0-18.0,176.0-28.0,null,15,1
inf-MAX-FAST-LARGE-TTL1,1,313,true,1554000,3354000,1728500,2139500,56.0-18.0,134.0-94.0,null,10,1
inf-MAX-FAST-LARGE-TTL1,0,86,false,0,1800000,822750,2200500,202.0-114.0,202.0-114.0,84,12,0
inf-MAX-FAST-LARGE-TTL1,1,74,true,0,3600000,1922500,2282250,160.0-18.0,88.0-38.0,null,6,1
inf-MAX-FAST-LARGE-TTL1,1,281,true,1477250,3277250,2020750,2353000,64.0-18.0,36.0-38.0,null,4,1
inf-MAX-FAST-LARGE-TTL1,1,239,true,861750,2661750,2053000,2401500,160.0-94.0,160.0-120.0,null,5,1
inf-MAX-FAST-LARGE-TTL1,0,241,false,861750,2661750,1738500,2402750,160.0-94.0,160.0-94.0,239,0,0
inf-MAX-FAST-LARGE-TTL1,0,85,false,0,1800000,513250,2565000,202.0-114.0,202.0-114.0,84,16,0
inf-MAX-FAST-LARGE-TTL1,0,67,false,0,2400000,1920250,2650750,82.0-74.0,82.0-74.0,62,1,0
inf-MAX-FAST-LARGE-TTL1,1,314,true,1554000,3954000,2344000,2681250,56.0-18.0,30.0-48.0,null,3,1
inf-MAX-FAST-LARGE-TTL1,1,62,true,0,2400000,2303000,2687750,82.0-74.0,168.0-120.0,null,8,1
inf-MAX-FAST-LARGE-TTL1,1,282,true,1477250,5077250,2334000,2773750,64.0-18.0,182.0-68.0,null,18,1
