EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
inf-MAX-FAST-REDUCED-SPEED1,1,92,true,0,3600000,132500,273500,56.0-18.0,76.0-28.0,null,15,1
inf-MAX-FAST-REDUCED-SPEED1,1,102,true,0,1800000,161750,313500,100.0-68.0,120.0-120.0,null,16,1
inf-MAX-FAST-REDUCED-SPEED1,1,97,true,0,3600000,146000,343000,104.0-18.0,122.0-58.0,null,17,1
inf-MAX-FAST-REDUCED-SPEED1,1,93,true,0,2400000,209500,394500,56.0-18.0,36.0-104.0,null,9,1
inf-MAX-FAST-REDUCED-SPEED1,1,100,true,0,2400000,306750,399500,52.0-18.0,38.0-24.0,null,8,1
inf-MAX-FAST-REDUCED-SPEED1,1,85,true,0,3000000,118250,441500,160.0-28.0,56.0-120.0,null,5,1
inf-MAX-FAST-REDUCED-SPEED1,0,91,false,0,1800000,240500,453250,74.0-74.0,74.0-74.0,88,6,0
inf-MAX-FAST-REDUCED-SPEED1,1,88,true,0,1800000,322750,460500,74.0-74.0,120.0-120.0,null,4,1
inf-MAX-FAST-REDUCED-SPEED1,1,98,true,0,3000000,369750,480500,104.0-18.0,76.0-58.0,null,1,1
inf-MAX-FAST-REDUCED-SPEED1,0,87,false,0,3600000,222250,523500,160.0-28.0,160.0-28.0,84,12,0
inf-MAX-FAST-REDUCED-SPEED1,1,95,true,0,3600000,399000,550250,56.0-18.0,104.0-54.0,null,10,1
inf-MAX-FAST-REDUCED-SPEED1,1,103,true,0,3600000,388750,553500,100.0-64.0,160.0-120.0,null,15,1
inf-MAX-FAST-REDUCED-SPEED1,0,104,false,0,3600000,140250,554250,100.0-64.0,100.0-64.0,103,13,0
inf-MAX-FAST-REDUCED-SPEED1,0,90,false,0,1800000,115500,568500,74.0-74.0,74.0-74.0,88,18,0
inf-MAX-FAST-REDUCED-SPEED1,1,94,true,0,3000000,355000,576000,56.0-18.0,126.0-94.0,null,19,1
inf-MAX-FAST-REDUCED-SPEED1,1,137,true,368500,2168500,538500,620000,146.0-104.0,172.0-120.0,null,17,1
inf-MAX-FAST-REDUCED-SPEED1,1,101,true,0,1800000,407000,628000,52.0-18.0,184.0-28.0,null,11,1
inf-MAX-FAST-REDUCED-SPEED1,1,99,true,0,1800000,424250,629500,104.0-18.0,150.0-104.0,null,0,1
inf-MAX-FAST-REDUCED-SPEED1,1,84,true,0,3600000,392250,638000,160.0-28.0,76.0-120.0,null,7,1
inf-MAX-FAST-REDUCED-SPEED1,1,151,true,381000,2181000,568750,641250,78.0-104.0,96.0-120.0,null,8,1
inf-MAX-FAST-REDUCED-SPEED1,0,86,false,0,3000000,74750,644750,160.0-28.0,160.0-28.0,85,3,0
inf-MAX-FAST-REDUCED-SPEED1,0,89,false,0,1800000,58250,686750,74.0-74.0,74.0-74.0,88,14,0
inf-MAX-FAST-REDUCED-SPEED1,0,142,false,368500,2768500,480000,699000,146.0-104.0,146.0-104.0,138,16,0
inf-MAX-FAST-REDUCED-SPEED1,1,96,true,0,1800000,457750,705750,56.0-18.0,146.0-58.0,null,2,1
inf-MAX-FAST-REDUCED-SPEED1,1,138,true,368500,2768500,575500,796500,146.0-104.0,56.0-120.0,null,9,1
inf-MAX-FAST-REDUCED-SPEED1,1,215,true,483750,2283750,766500,830000,174.0-108.0,172.0-120.0,null,19,1
inf-MAX-FAST-REDUCED-SPEED1,1,261,true,568500,4168500,805500,932000,154.0-68.0,160.0-120.0,null,15,1
inf-MAX-FAST-REDUCED-SPEED1,0,262,false,568500,2968500,753250,943000,154.0-64.0,154.0-64.0,260,3,0
