EXP-ID,SingleTask,ID,isFinished,startTime,EndTime,pickupTime,completionTime,beginPosition+,endPosition,inOrderFor,agvID,Priority
inf-MAX-FAST0,1,27,true,0,1800000,71500,123500,72.0-18.0,76.0-34.0,null,11,1
inf-MAX-FAST0,1,3,true,0,1800000,89000,201250,54.0-94.0,156.0-120.0,null,16,1
inf-MAX-FAST0,1,1,true,0,1800000,105500,220250,54.0-98.0,148.0-120.0,null,19,1
inf-MAX-FAST0,1,18,true,0,2400000,101000,302500,148.0-18.0,52.0-68.0,null,6,1
inf-MAX-FAST0,1,28,true,0,2400000,143000,310500,72.0-18.0,102.0-78.0,null,0,1
inf-MAX-FAST0,1,0,true,0,3000000,189500,324250,54.0-98.0,180.0-120.0,null,10,1
inf-MAX-FAST0,1,29,true,0,1800000,299000,365000,72.0-18.0,58.0-34.0,null,9,1
inf-MAX-FAST0,0,23,false,0,3000000,289500,434500,108.0-24.0,108.0-24.0,20,14,0
inf-MAX-FAST0,1,35,true,0,2400000,370750,449250,32.0-114.0,100.0-120.0,null,5,1
inf-MAX-FAST0,1,30,true,0,2400000,360000,464750,72.0-18.0,60.0-94.0,null,12,1
inf-MAX-FAST0,1,2,true,0,3600000,371250,474250,54.0-98.0,104.0-120.0,null,16,1
inf-MAX-FAST0,1,20,true,0,3000000,338250,475500,108.0-24.0,84.0-120.0,null,1,1
inf-MAX-FAST0,1,14,true,0,2400000,380250,480000,88.0-18.0,106.0-48.0,null,11,1
inf-MAX-FAST0,0,8,false,0,3600000,326000,492500,54.0-98.0,54.0-98.0,2,8,0
inf-MAX-FAST0,1,36,true,0,3000000,432250,521000,32.0-114.0,100.0-120.0,null,19,1
inf-MAX-FAST0,0,22,false,0,3000000,195250,528500,108.0-24.0,108.0-24.0,20,2,0
inf-MAX-FAST0,0,38,false,0,2400000,258750,533500,32.0-114.0,32.0-114.0,35,13,0
inf-MAX-FAST0,1,239,true,369000,3969000,437500,554750,28.0-104.0,148.0-120.0,null,6,1
inf-MAX-FAST0,0,7,false,0,3600000,278750,582750,54.0-98.0,54.0-98.0,2,18,0
inf-MAX-FAST0,1,19,true,0,2400000,447000,588000,148.0-18.0,104.0-104.0,null,3,1
inf-MAX-FAST0,1,240,true,369000,2769000,495250,617500,28.0-104.0,156.0-120.0,null,0,1
inf-MAX-FAST0,0,21,false,0,3000000,109250,618000,108.0-24.0,108.0-24.0,20,15,0
inf-MAX-FAST0,0,37,false,0,2400000,169250,632500,32.0-114.0,32.0-114.0,35,7,0
inf-MAX-FAST0,1,232,true,368750,3368750,541500,662500,128.0-18.0,26.0-58.0,null,17,1
inf-MAX-FAST0,0,4,false,0,3600000,57750,677250,54.0-98.0,54.0-98.0,2,4,0
inf-MAX-FAST0,1,259,true,449250,2849250,552250,693250,52.0-58.0,152.0-120.0,null,11,1
inf-MAX-FAST0,1,305,true,473000,2873000,617000,723000,120.0-18.0,110.0-94.0,null,2,1
inf-MAX-FAST0,1,271,true,449500,2249500,562000,743000,28.0-38.0,172.0-120.0,null,12,1
inf-MAX-FAST0,1,261,true,449250,2249250,650750,766750,52.0-58.0,112.0-120.0,null,16,1
inf-MAX-FAST0,1,260,true,449250,2849250,704000,797500,52.0-54.0,84.0-120.0,null,9,1
inf-MAX-FAST0,0,266,false,449250,4049250,696500,825000,52.0-58.0,52.0-58.0,262,3,0
inf-MAX-FAST0,1,320,true,521000,4121000,709000,827500,180.0-18.0,208.0-88.0,null,15,1
inf-MAX-FAST0,1,321,true,521000,3521000,747000,839250,180.0-18.0,172.0-94.0,null,6,1
inf-MAX-FAST0,1,262,true,449250,4049250,732250,855750,52.0-58.0,124.0-120.0,null,7,1
inf-MAX-FAST0,1,306,true,473000,2273000,673500,859750,120.0-18.0,52.0-24.0,null,8,1
inf-MAX-FAST0,0,274,false,449500,2849500,775750,918250,28.0-34.0,28.0-34.0,272,4,0
inf-MAX-FAST0,0,264,false,449250,4049250,606750,923750,52.0-58.0,52.0-58.0,262,5,0
inf-MAX-FAST0,1,350,true,554750,2354750,837000,940500,82.0-68.0,120.0-120.0,null,11,1
inf-MAX-FAST0,1,414,true,618000,3018000,801500,952500,154.0-64.0,48.0-120.0,null,2,1
inf-MAX-FAST0,0,351,false,554750,2354750,714750,959500,82.0-68.0,82.0-68.0,350,14,0
inf-MAX-FAST0,1,272,true,449500,2849500,825000,978750,28.0-34.0,112.0-120.0,null,0,1
inf-MAX-FAST0,1,322,true,521000,2321000,904000,1012500,180.0-18.0,194.0-58.0,null,12,1
inf-MAX-FAST0,0,273,false,449500,2849500,718500,1012750,28.0-34.0,28.0-34.0,272,17,0
inf-MAX-FAST0,1,307,true,473000,2873000,920500,1029000,120.0-18.0,78.0-98.0,null,19,1
inf-MAX-FAST0,1,458,true,762750,3162750,915000,1053500,136.0-18.0,56.0-108.0,null,13,1
inf-MAX-FAST0,1,459,true,762750,3162750,961500,1066250,136.0-18.0,128.0-78.0,null,6,1
inf-MAX-FAST0,1,490,true,855500,3255500,987750,1119500,180.0-38.0,156.0-120.0,null,18,1
inf-MAX-FAST0,1,323,true,521000,2921000,1013500,1120750,180.0-18.0,130.0-64.0,null,9,1
inf-MAX-FAST0,1,488,true,855500,3255500,978250,1171750,180.0-34.0,64.0-120.0,null,8,1
inf-MAX-FAST0,1,505,true,945250,3345250,1097500,1189750,88.0-18.0,82.0-84.0,null,17,1
inf-MAX-FAST0,1,413,true,618000,3018000,1136750,1220250,154.0-64.0,180.0-120.0,null,2,1
inf-MAX-FAST0,0,415,false,618000,3018000,880000,1231250,154.0-64.0,154.0-64.0,413,16,0
inf-MAX-FAST0,0,244,false,369000,2769000,1010000,1248750,28.0-104.0,28.0-104.0,241,15,0
inf-MAX-FAST0,1,241,true,369000,2769000,1154250,1261500,28.0-104.0,132.0-120.0,null,3,1
inf-MAX-FAST0,1,460,true,762750,3162750,1165000,1276000,136.0-18.0,30.0-38.0,null,19,1
inf-MAX-FAST0,1,506,true,945250,3945250,1136000,1277000,88.0-18.0,160.0-84.0,null,12,1
inf-MAX-FAST0,1,489,true,855500,3255500,1187500,1318500,180.0-38.0,132.0-120.0,null,11,1
inf-MAX-FAST0,1,461,true,762750,3762750,1212000,1320500,136.0-18.0,136.0-104.0,null,13,1
inf-MAX-FAST0,0,493,false,855500,3855500,1226500,1355000,180.0-38.0,180.0-38.0,487,9,0
inf-MAX-FAST0,1,487,true,855500,3855500,1261500,1370000,180.0-38.0,144.0-120.0,null,4,1
inf-MAX-FAST0,1,581,true,1231250,3631250,1341000,1392000,96.0-18.0,76.0-28.0,null,16,1
inf-MAX-FAST0,1,520,true,1029000,4629000,1319000,1395000,62.0-108.0,88.0-120.0,null,0,1
inf-MAX-FAST0,0,525,false,1029000,4629000,1264500,1412250,62.0-108.0,62.0-108.0,520,17,0
inf-MAX-FAST0,1,591,true,1266750,4266750,1385500,1447750,112.0-18.0,74.0-28.0,null,12,1
inf-MAX-FAST0,0,492,false,855500,3255500,1068500,1448250,180.0-38.0,180.0-38.0,489,5,0
inf-MAX-FAST0,1,507,true,945250,2745250,1301500,1452500,88.0-18.0,178.0-58.0,null,18,1
inf-MAX-FAST0,0,524,false,1029000,4629000,1158500,1506750,62.0-108.0,62.0-108.0,520,6,0
inf-MAX-FAST0,0,491,false,855500,3255500,921250,1529750,180.0-38.0,180.0-38.0,490,1,0
inf-MAX-FAST0,1,521,true,1029000,4029000,1433000,1546500,62.0-104.0,176.0-120.0,null,14,1
inf-MAX-FAST0,0,523,false,1029000,4029000,1389000,1552250,62.0-104.0,62.0-104.0,521,2,0
inf-MAX-FAST0,1,592,true,1266750,4266750,1425500,1554750,112.0-18.0,180.0-44.0,null,19,1
inf-MAX-FAST0,1,593,true,1266750,4866750,1465000,1564750,112.0-18.0,148.0-54.0,null,13,1
inf-MAX-FAST0,1,608,true,1355000,4355000,1528500,1617000,108.0-58.0,108.0-120.0,null,18,1
inf-MAX-FAST0,0,522,false,1029000,4029000,1292750,1646750,62.0-104.0,62.0-104.0,521,8,0
inf-MAX-FAST0,1,590,true,1266750,3666750,1560750,1681750,104.0-18.0,170.0-74.0,null,5,1
inf-MAX-FAST0,1,502,true,945250,4545250,1618250,1684250,172.0-18.0,150.0-34.0,null,19,1
inf-MAX-FAST0,1,503,true,945250,3345250,1654500,1729250,172.0-18.0,154.0-44.0,null,13,1
inf-MAX-FAST0,1,656,true,1448250,3848250,1667500,1752250,208.0-108.0,148.0-120.0,null,11,1
inf-MAX-FAST0,1,504,true,945250,3345250,1692750,1752500,172.0-18.0,158.0-48.0,null,12,1
